step,state,action,action_name,new_state,reward,cumulative_reward
1,s=3 (adjacent),2,move_up,3,0.3,0.3
2,s=4 (center),0,move_left,4,1.0,1.3
3,s=5 (adjacent),4,hover,5,0.3,1.6
4,s=7 (adjacent),1,move_right,7,0.3,1.9
5,s=1 (adjacent),3,move_down,1,0.3,2.2
6,s=4 (center),2,move_up,4,1.0,3.2
7,s=4 (center),4,hover,4,1.0,4.2
8,s=4 (center),4,hover,4,1.0,5.2
9,s=4 (center),4,hover,4,1.0,6.2
10,s=4 (center),4,hover,4,1.0,7.2
11,s=4 (center),4,hover,4,1.0,8.2
12,s=4 (center),4,hover,4,1.0,9.2
13,s=4 (center),4,hover,4,1.0,10.2
14,s=4 (center),4,hover,4,1.0,11.2
15,s=4 (center),4,hover,4,1.0,12.2
16,s=4 (center),4,hover,4,1.0,13.2
17,s=8 (corner),4,hover,8,-0.1,13.1
18,s=7 (adjacent),1,move_right,7,0.3,13.4
19,s=6 (corner),3,move_down,6,-0.1,13.3
20,s=8 (corner),0,move_left,8,-0.1,13.2
21,s=8 (corner),1,move_right,8,-0.1,13.1
22,s=8 (corner),1,move_right,8,-0.1,13.0
23,s=8 (corner),1,move_right,8,-0.1,12.9
24,LOST,1,move_right,9,-1.0,11.9
